subject,type,label
http://purl.obolibrary.org/obo/OBI_0002305,http://www.w3.org/2002/07/owl#NamedIndividual,pM1b (lung)
http://purl.obolibrary.org/obo/OBI_0002306,http://www.w3.org/2002/07/owl#Class,pathologic distant metastases stage for kidney according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002307,http://purl.obolibrary.org/obo/OBI_0002306,cM0 (kidney)
http://purl.obolibrary.org/obo/OBI_0002307,http://www.w3.org/2002/07/owl#NamedIndividual,cM0 (kidney)
http://purl.obolibrary.org/obo/OBI_0002308,http://purl.obolibrary.org/obo/OBI_0002306,cM1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002308,http://www.w3.org/2002/07/owl#NamedIndividual,cM1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002309,http://purl.obolibrary.org/obo/OBI_0002306,pM1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002309,http://www.w3.org/2002/07/owl#NamedIndividual,pM1 (kidney)
http://purl.obolibrary.org/obo/OBI_0002310,http://www.w3.org/2002/07/owl#Class,pathologic distant metastases stage for ovary according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002311,http://purl.obolibrary.org/obo/OBI_0002310,cM0 (ovary)
http://purl.obolibrary.org/obo/OBI_0002311,http://www.w3.org/2002/07/owl#NamedIndividual,cM0 (ovary)
http://purl.obolibrary.org/obo/OBI_0002312,http://purl.obolibrary.org/obo/OBI_0002310,cM1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002312,http://www.w3.org/2002/07/owl#NamedIndividual,cM1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002313,http://purl.obolibrary.org/obo/OBI_0002310,pM1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002313,http://www.w3.org/2002/07/owl#NamedIndividual,pM1 (ovary)
http://purl.obolibrary.org/obo/OBI_0002314,http://www.w3.org/2002/07/owl#Class,clinical tumor stage group according to AJCC 7th edition
http://purl.obolibrary.org/obo/OBI_0002315,http://purl.obolibrary.org/obo/OBI_0002314,Occult Carcinoma (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002315,http://www.w3.org/2002/07/owl#NamedIndividual,Occult Carcinoma (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002316,http://purl.obolibrary.org/obo/OBI_0002314,Stage 0 (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002316,http://www.w3.org/2002/07/owl#NamedIndividual,Stage 0 (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002317,http://purl.obolibrary.org/obo/OBI_0002314,Stage I (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002317,http://www.w3.org/2002/07/owl#NamedIndividual,Stage I (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002318,http://purl.obolibrary.org/obo/OBI_0002314,Stage IIA (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002318,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIA (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002319,http://purl.obolibrary.org/obo/OBI_0002314,Stage IIB (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002319,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIB (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002320,http://purl.obolibrary.org/obo/OBI_0002314,Stage IIC (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002320,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIC (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002321,http://purl.obolibrary.org/obo/OBI_0002314,Stage IIIA (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002321,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIIA (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002322,http://purl.obolibrary.org/obo/OBI_0002314,Stage IIIB (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002322,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIIB (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002323,http://purl.obolibrary.org/obo/OBI_0002314,Stage IIIC (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002323,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIIC (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002324,http://purl.obolibrary.org/obo/OBI_0002314,Stage IVA (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002324,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IVA (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002325,http://purl.obolibrary.org/obo/OBI_0002314,Stage IVB (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002325,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IVB (AJCC 7th)
http://purl.obolibrary.org/obo/OBI_0002326,http://www.w3.org/2002/07/owl#Class,International Federation of Gynecology and Obstetrics cervical cancer stage value specification
http://purl.obolibrary.org/obo/OBI_0002327,http://purl.obolibrary.org/obo/OBI_0002326,Stage IA (FIGO)
http://purl.obolibrary.org/obo/OBI_0002327,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IA (FIGO)
http://purl.obolibrary.org/obo/OBI_0002328,http://purl.obolibrary.org/obo/OBI_0002326,Stage IA1 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002328,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IA1 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002329,http://purl.obolibrary.org/obo/OBI_0002326,Stage IA2 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002329,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IA2 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002330,http://purl.obolibrary.org/obo/OBI_0002326,Stage IB (FIGO)
http://purl.obolibrary.org/obo/OBI_0002330,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IB (FIGO)
http://purl.obolibrary.org/obo/OBI_0002331,http://purl.obolibrary.org/obo/OBI_0002326,Stage IB1 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002331,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IB1 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002332,http://purl.obolibrary.org/obo/OBI_0002326,Stage IB2 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002332,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IB2 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002333,http://purl.obolibrary.org/obo/OBI_0002326,Stage IIA (FIGO)
http://purl.obolibrary.org/obo/OBI_0002333,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIA (FIGO)
http://purl.obolibrary.org/obo/OBI_0002334,http://purl.obolibrary.org/obo/OBI_0002326,Stage IIA1 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002334,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIA1 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002335,http://purl.obolibrary.org/obo/OBI_0002326,Stage IIA2 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002335,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIA2 (FIGO)
http://purl.obolibrary.org/obo/OBI_0002336,http://purl.obolibrary.org/obo/OBI_0002326,Stage IIB (FIGO)
http://purl.obolibrary.org/obo/OBI_0002336,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIB (FIGO)
http://purl.obolibrary.org/obo/OBI_0002337,http://purl.obolibrary.org/obo/OBI_0002326,Stage IIIA (FIGO)
http://purl.obolibrary.org/obo/OBI_0002337,http://www.w3.org/2002/07/owl#NamedIndividual,Stage IIIA (FIGO)
http://purl.obolibrary.org/obo/OBI_0002338,http://purl.obolibrary.org/obo/OBI_0002326,Stage IIIB (FIGO)
